"","county_state","density","pop"
"137","Clinton,Michigan",1160.31589338598,117540
"138","Webb,Texas",1007.0282658518,263640
"139","Dona Ana,New Mexico",527.590361445783,105096
"140","Galveston,Texas",818.076923076923,108477
"141","Fayette,Kentucky",442.11708645337,324735
"142","Lancaster,Nebraska",1218.05031446541,290505
"143","Pulaski,Arkansas",643.675992192583,197866
"144","Jefferson,Kentucky",905.989743589744,618338
"145","Lubbock,Texas",813.792996591261,262611
"146","Bibb,Georgia",236.544835062723,152737
"147","Jones,Georgia",236.544835062723,152737
"148","Dane,Wisconsin",1319.42828485456,263094
"149","Hillsborough,New Hampshire",1313.25554259043,112546
"150","Shelby,Tennessee",790.29923366987,649705
"151","Miami-Dade,Florida",5059.28111587983,471525
"152","Midland,Texas",763.201868188895,147069
"153","Washington,Wisconsin",2363.83226324238,589067
"154","Milwaukee,Wisconsin",2363.83226324238,589067
"155","Hennepin,Minnesota",3095.86132952109,433111
"156","Mobile,Alabama",520.072022160665,187746
"157","Stanislaus,California",1935.960502693,215666
"158","Montgomery,Alabama",474.191833776275,196268
"159","Rutherford,Tennessee",1041.13950276243,150757
"160","Canyon,Idaho",1207.19298245614,103215
"161","Davidson,Tennessee",544.617069608957,671295
"162","New Haven,Connecticut",2702.5,130801
"163","Orleans,Louisiana",887.795760200593,389476
"164","New York,New York",10568.8474836727,8253213
"165","Essex,New Jersey",4527.5641025641,282520
"166","Newport News,Virginia",1000.34636871508,179062
"167","Norfolk,Virginia",1759.44202898551,242803
"168","Cleveland,Oklahoma",421.77545691906,662314
"169","Ector,Texas",1070.99060631939,125413
"170","Pottawatomie,Oklahoma",421.77545691906,662314
"171","Canadian,Oklahoma",421.77545691906,662314
"172","Oklahoma,Oklahoma",421.77545691906,662314
"173","Mc Clain,Oklahoma",421.77545691906,662314
"174","Johnson,Kansas",1014.81233933162,197381
"175","Douglas,Nebraska",1386.64637681159,478393
"176","Orange,Florida",1062.22752293578,289457
"177","Ventura,California",2983.42898134864,207945
"178","Brevard,Florida",687.027027027027,116932
"179","Passaic,New Jersey",6642.24770642202,144801
"180","Brazoria,Texas",1030.54211843203,123562
"181","Peoria,Illinois",876.826923076923,109428
"182","Philadelphia,Pennsylvania",4541.10184119678,1578487
"183","Allegheny,Pennsylvania",2085.19860627178,299226
"184","St. Lucie,Florida",681.113998051315,209715
"185","Clackamas,Oregon",1899.22209369578,656751
"186","Providence,Rhode Island",3758.28092243187,179270
"187","Utah,Utah",1076.80555555556,116295
"188","Pueblo,Colorado",812.327089337176,112751
"189","Washoe,Nevada",933.033465275279,259290
"190","Richmond,Virginia",1499.19948353777,232226
"191","Olmsted,Minnesota",847.680339462518,119862
"192","Monroe,New York",2213.8619201726,205225
"193","Winnebago,Illinois",880.455927051672,144835
"194","Placer,California",1299.14721723519,144725
"195","Williamson,Texas",1492.13665943601,137575
"196","Ramsey,Minnesota",2277.03786191537,306717
"197","Marion,Oregon",1397.06910246227,175891
"198","Polk,Oregon",1397.06910246227,175891
"199","Monterey,California",2534.66448445172,154868
"200","Salt Lake,Utah",708.635416666667,204087
"201","Tom Green,Texas",655.138620245003,101612
"202","Bexar,Texas",1312.49413735343,1567118
"203","San Francisco,California",7132.55967078189,866606
"204","Santa Clara,California",2204.95105503589,1013616
"205","Santa Barbara,California",1791.04906937394,105851
"206","Sonoma,California",1631.89719626168,174613
"207","Chatham,Georgia",535.341036153559,143632
"208","Caddo,Louisiana",666.135544340303,184786
"209","Bossier,Louisiana",666.135544340303,184786
"210","Minnehaha,South Dakota",961.643625192012,187809
"211","Lincoln,South Dakota",961.643625192012,187809
"212","St. Joseph,Indiana",950.261194029851,101868
"213","NA,Georgia",467.062841530055,102567
"214","Spokane,Washington",1248.17313097246,222050
"215","Sangamon,Illinois",730.064226075787,113671
"216","Hampden,Massachusetts",1848.01452784504,152646
"217","Greene,Missouri",788.414634146342,168090
"218","St. Louis,Missouri",1853.33125778331,297645
"219","Macomb,Michigan",1491.32435465769,132877
"220","San Joaquin,California",1956.9211514393,312716
"221","Onondaga,New York",2182.828438949,141229
"222","Pierce,Washington",1708.97435897436,219945
"223","Leon,Florida",755.1,196326
"224","Hillsborough,Florida",1387.80728634661,407599
"225","Lucas,Ohio",1298.82775119617,271455
"226","Shawnee,Kansas",781.908349026993,124558
"227","Pima,Arizona",926.013716962195,553571
"228","Osage,Oklahoma",790.986855012753,403166
"229","Tuscaloosa,Alabama",553.683360258481,102819
"230","Smith,Texas",738.212824010914,108222
"231","Clark,Washington",1532.44444444444,186192
"232","Virginia Beach,Virginia",711.945408646261,451231
"233","Tulare,California",1390.39134912461,135007
"234","Mc Lennan,Texas",613.349240780911,141377
"235","Washington,District of Columbia",4505.79013906448,712816
"236","Palm Beach,Florida",790.343377715487,112782
"237","Sedgwick,Kansas",943.021184400578,391731
"238","Archer,Texas",563.663101604278,105405
"239","Wichita,Texas",563.663101604278,105405
"240","New Hanover,North Carolina",934.086826347305,124794
"241","Forsyth,North Carolina",722.937062937063,248112
"242","Worcester,Massachusetts",1904.7471620227,184570
"243","Westchester,New York",4292.70386266094,200040
